"Region","Period","Population","Population/km²","km²","km²"
"Nederland","2020","17407585","517","41543,38","33671,09"
"Groningen","2020","585866","252","2959,68","2323,94"
"Friesland","2020","649957","195","5748,77","3335,62"
"Drenthe","2020","493682","188","2680,39","2632,65"
"Overijssel","2020","1162406","350","3420,74","3319,00"
"Flevoland","2020","423021","300","2412,31","1411,63"
"Gelderland","2020","2085952","420","5136,31","4963,71"
"Utrecht","2020","1354834","912","1560,05","1485,46"
"Noord-Holland","2020","2879527","1081","4091,93","2664,82"
"Zuid-Holland","2020","3708696","1374","3307,86","2700,07"
"Zeeland","2020","383488","215","2933,44","1782,12"
"Noord-Brabant","2020","2562955","522","5082,06","4905,46"
"Limburg","2020","1117201","520","2209,85","2146,61"
